femalestar,malestar,femalerasi,malerasi,motha porutham,target
ayilyam,moolam,kadagam,dhanush,#REF!,0
ayilyam,pooradam,kadagam,dhanush,#REF!,0
ayilyam,uthiradam 1 padham,kadagam,dhanush,#REF!,1
ayilyam,uthiradam 2 3 4 padham,kadagam,magaram,#REF!,1
ayilyam,thiruvonam,kadagam,magaram,#REF!,0
ayilyam,avitam 1 2 padham,kadagam,magaram,#REF!,1
ayilyam,avitam 3 4 padam,kadagam,kumbam,#REF!,1
ayilyam,sathayam,kadagam,kumbam,#REF!,1
ayilyam,pooratadhi 1 2 3 padham,kadagam,kumbam,#REF!,0
ayilyam,pooratadhi 4 padham,kadagam,meenam,#REF!,1
ayilyam,uthiraithadhi,kadagam,meenam,#REF!,1
ayilyam,revathi,kadagam,meenam,#REF!,0
magam,aswini,simmam,mesam,#REF!,0
magam,bharani,simmam,mesam,#REF!,1
magam,karthigai 1 padham,simmam,mesam,#REF!,1
magam,karthigai 2 3 4 padham,simmam,rishabam,#REF!,0
magam,rohini,simmam,rishabam,#REF!,0
magam,mirugasirisham 1 2 padham,simmam,rishabam,#REF!,0
magam,mirugasirisham 3 4 padham,simmam,mithunam,#REF!,0
magam,thiruvadhirai,simmam,mithunam,#REF!,1
magam,poonarpusham 1 2 3 padham,simmam,mithunam,#REF!,0
magam,poonarpusham 4 padham,simmam,kadagam,#REF!,1
magam,poosam,simmam,kadagam,#REF!,1
magam,ayilyam,simmam,kadagam,#REF!,0
magam,magam,simmam,simmam,#REF!,0
magam,pooram,simmam,simmam,#REF!,0
magam,uthiram 1 padham,simmam,simmam,#REF!,0
magam,uthiram 2 3 4 padham,simmam,kanni,#REF!,0
magam,astham,simmam,kanni,#REF!,0
magam,chithirai 1 2padham,simmam,kanni,#REF!,0
magam,chithirai 3 4 padham,simmam,thualam,#REF!,0
magam,swathi,simmam,thualam,#REF!,0
magam,visagam 1 2 3 padham,simmam,thualam,#REF!,0
magam,visagam 4 padham,simmam,viruchagam,#REF!,0
magam,anusam,simmam,viruchagam,#REF!,0
magam,kettai,simmam,viruchagam,#REF!,0
magam,moolam,simmam,dhanush,#REF!,0
magam,pooradam,simmam,dhanush,#REF!,0
magam,uthiradam 1 padham,simmam,dhanush,#REF!,0
magam,uthiradam 2 3 4 padham,simmam,magaram,#REF!,0
magam,thiruvonam,simmam,magaram,#REF!,1
magam,avitam 1 2 padham,simmam,magaram,#REF!,0
magam,avitam 3 4 padam,simmam,kumbam,#REF!,0
magam,sathayam,simmam,kumbam,#REF!,1
magam,pooratadhi 1 2 3 padham,simmam,kumbam,#REF!,0
magam,pooratadhi 4 padham,simmam,meenam,#REF!,0
magam,uthiraithadhi,simmam,meenam,#REF!,0
magam,revathi,simmam,meenam,#REF!,0
pooram,aswini,simmam,mesam,#REF!,1
pooram,bharani,simmam,mesam,#REF!,0
pooram,karthigai 1 padham,simmam,mesam,#REF!,1
pooram,karthigai 2 3 4 padham,simmam,rishabam,#REF!,1
pooram,rohini,simmam,rishabam,#REF!,0
pooram,mirugasirisham 1 2 padham,simmam,rishabam,#REF!,1
pooram,mirugasirisham 3 4 padham,simmam,mithunam,#REF!,1
pooram,thiruvadhirai,simmam,mithunam,#REF!,1
pooram,poonarpusham 1 2 3 padham,simmam,mithunam,#REF!,1
pooram,poonarpusham 4 padham,simmam,kadagam,#REF!,1
pooram,poosam,simmam,kadagam,#REF!,0
pooram,ayilyam,simmam,kadagam,#REF!,1
pooram,magam,simmam,simmam,#REF!,1
pooram,pooram,simmam,simmam,#REF!,0
pooram,uthiram 1 padham,simmam,simmam,#REF!,1
pooram,uthiram 2 3 4 padham,simmam,kanni,#REF!,0
pooram,astham,simmam,kanni,#REF!,0
pooram,chithirai 1 2padham,simmam,kanni,#REF!,0
pooram,chithirai 3 4 padham,simmam,thualam,#REF!,0
pooram,swathi,simmam,thualam,#REF!,0
pooram,visagam 1 2 3 padham,simmam,thualam,#REF!,0
pooram,visagam 4 padham,simmam,viruchagam,#REF!,0
pooram,anusam,simmam,viruchagam,#REF!,0
pooram,kettai,simmam,viruchagam,#REF!,1
pooram,moolam,simmam,dhanush,#REF!,1
pooram,pooradam,simmam,dhanush,#REF!,0
pooram,uthiradam 1 padham,simmam,dhanush,#REF!,1
pooram,uthiradam 2 3 4 padham,simmam,magaram,#REF!,1
pooram,thiruvonam,simmam,magaram,#REF!,0
pooram,avitam 1 2 padham,simmam,magaram,#REF!,1
pooram,avitam 3 4 padam,simmam,kumbam,#REF!,1
pooram,sathayam,simmam,kumbam,#REF!,0
pooram,pooratadhi 1 2 3 padham,simmam,kumbam,#REF!,1
pooram,pooratadhi 4 padham,simmam,meenam,#REF!,1
pooram,uthiraithadhi,simmam,meenam,#REF!,0
pooram,revathi,simmam,meenam,#REF!,1
uthiram 1 padham,aswini,simmam,mesam,#REF!,1
uthiram 1 padham,bharani,simmam,mesam,#REF!,1
uthiram 1 padham,karthigai 1 padham,simmam,mesam,#REF!,0
uthiram 1 padham,karthigai 2 3 4 padham,simmam,rishabam,#REF!,0
uthiram 1 padham,rohini,simmam,rishabam,#REF!,1
uthiram 1 padham,mirugasirisham 1 2 padham,simmam,rishabam,#REF!,0
uthiram 1 padham,mirugasirisham 3 4 padham,simmam,mithunam,#REF!,1
uthiram 1 padham,thiruvadhirai,simmam,mithunam,#REF!,1
uthiram 1 padham,poonarpusham 1 2 3 padham,simmam,mithunam,#REF!,0
uthiram 1 padham,poonarpusham 4 padham,simmam,kadagam,#REF!,0
uthiram 1 padham,poosam,simmam,kadagam,#REF!,1
uthiram 1 padham,ayilyam,simmam,kadagam,#REF!,1
uthiram 1 padham,magam,simmam,simmam,#REF!,1
uthiram 1 padham,pooram,simmam,simmam,#REF!,1
uthiram 1 padham,uthiram 1 padham,simmam,simmam,#REF!,0
uthiram 1 padham,uthiram 2 3 4 padham,simmam,kanni,#REF!,0
uthiram 1 padham,astham,simmam,kanni,#REF!,0
uthiram 1 padham,chithirai 1 2padham,simmam,kanni,#REF!,0
uthiram 1 padham,chithirai 3 4 padham,simmam,thualam,#REF!,0
uthiram 1 padham,swathi,simmam,thualam,#REF!,0
uthiram 1 padham,visagam 1 2 3 padham,simmam,thualam,#REF!,0
uthiram 1 padham,visagam 4 padham,simmam,viruchagam,#REF!,0
uthiram 1 padham,anusam,simmam,viruchagam,#REF!,0
uthiram 1 padham,kettai,simmam,viruchagam,#REF!,0
uthiram 1 padham,moolam,simmam,dhanush,#REF!,1
uthiram 1 padham,pooradam,simmam,dhanush,#REF!,0
uthiram 1 padham,uthiradam 1 padham,simmam,dhanush,#REF!,0
uthiram 1 padham,uthiradam 2 3 4 padham,simmam,magaram,#REF!,0
uthiram 1 padham,thiruvonam,simmam,magaram,#REF!,1
uthiram 1 padham,avitam 1 2 padham,simmam,magaram,#REF!,0
uthiram 1 padham,avitam 3 4 padam,simmam,kumbam,#REF!,0
uthiram 1 padham,sathayam,simmam,kumbam,#REF!,1
uthiram 1 padham,pooratadhi 1 2 3 padham,simmam,kumbam,#REF!,0
uthiram 1 padham,pooratadhi 4 padham,simmam,meenam,#REF!,0
uthiram 1 padham,uthiraithadhi,simmam,meenam,#REF!,1
uthiram 1 padham,revathi,simmam,meenam,#REF!,1
uthiram 2 3 4 padham,aswini,kanni,mesam,#REF!,1
uthiram 2 3 4 padham,bharani,kanni,mesam,#REF!,1
uthiram 2 3 4 padham,karthigai 1 padham,kanni,mesam,#REF!,0
uthiram 2 3 4 padham,karthigai 2 3 4 padham,kanni,rishabam,#REF!,0
uthiram 2 3 4 padham,rohini,kanni,rishabam,#REF!,1
uthiram 2 3 4 padham,mirugasirisham 1 2 padham,kanni,rishabam,#REF!,1
uthiram 2 3 4 padham,mirugasirisham 3 4 padham,kanni,mithunam,#REF!,1
uthiram 2 3 4 padham,thiruvadhirai,kanni,mithunam,#REF!,1
uthiram 2 3 4 padham,poonarpusham 1 2 3 padham,kanni,mithunam,#REF!,0
uthiram 2 3 4 padham,poonarpusham 4 padham,kanni,kadagam,#REF!,0
uthiram 2 3 4 padham,poosam,kanni,kadagam,#REF!,1
uthiram 2 3 4 padham,ayilyam,kanni,kadagam,#REF!,1
uthiram 2 3 4 padham,magam,kanni,simmam,#REF!,1
uthiram 2 3 4 padham,pooram,kanni,simmam,#REF!,1
uthiram 2 3 4 padham,uthiram 1 padham,kanni,simmam,#REF!,0
uthiram 2 3 4 padham,uthiram 2 3 4 padham,kanni,kanni,#REF!,0
uthiram 2 3 4 padham,astham,kanni,kanni,#REF!,1
uthiram 2 3 4 padham,chithirai 1 2padham,kanni,kanni,#REF!,0
uthiram 2 3 4 padham,chithirai 3 4 padham,kanni,thualam,#REF!,0
uthiram 2 3 4 padham,swathi,kanni,thualam,#REF!,1
uthiram 2 3 4 padham,visagam 1 2 3 padham,kanni,thualam,#REF!,0
uthiram 2 3 4 padham,visagam 4 padham,kanni,viruchagam,#REF!,0
uthiram 2 3 4 padham,anusam,kanni,viruchagam,#REF!,0
uthiram 2 3 4 padham,kettai,kanni,viruchagam,#REF!,0
uthiram 2 3 4 padham,moolam,kanni,dhanush,#REF!,1
uthiram 2 3 4 padham,pooradam,kanni,dhanush,#REF!,1
uthiram 2 3 4 padham,uthiradam 1 padham,kanni,dhanush,#REF!,0
uthiram 2 3 4 padham,uthiradam 2 3 4 padham,kanni,magaram,#REF!,0
uthiram 2 3 4 padham,thiruvonam,kanni,magaram,#REF!,1
uthiram 2 3 4 padham,avitam 1 2 padham,kanni,magaram,#REF!,0
uthiram 2 3 4 padham,avitam 3 4 padam,kanni,kumbam,#REF!,0
uthiram 2 3 4 padham,sathayam,kanni,kumbam,#REF!,1
uthiram 2 3 4 padham,pooratadhi 1 2 3 padham,kanni,kumbam,#REF!,0
uthiram 2 3 4 padham,pooratadhi 4 padham,kanni,meenam,#REF!,0
uthiram 2 3 4 padham,uthiraithadhi,kanni,meenam,#REF!,1
uthiram 2 3 4 padham,revathi,kanni,meenam,#REF!,1
astham,aswini,kanni,mesam,#REF!,0
astham,bharani,kanni,mesam,#REF!,1
astham,karthigai 1 padham,kanni,mesam,#REF!,1
astham,karthigai 2 3 4 padham,kanni,rishabam,#REF!,1
astham,rohini,kanni,rishabam,#REF!,0
astham,mirugasirisham 1 2 padham,kanni,rishabam,#REF!,1
astham,mirugasirisham 3 4 padham,kanni,mithunam,#REF!,1
astham,thiruvadhirai,kanni,mithunam,#REF!,0
astham,poonarpusham 1 2 3 padham,kanni,mithunam,#REF!,1
astham,poonarpusham 4 padham,kanni,kadagam,#REF!,1
astham,poosam,kanni,kadagam,#REF!,0
astham,ayilyam,kanni,kadagam,#REF!,1
astham,magam,kanni,simmam,#REF!,1
astham,pooram,kanni,simmam,#REF!,1
astham,uthiram 1 padham,kanni,simmam,#REF!,1
astham,uthiram 2 3 4 padham,kanni,kanni,#REF!,1
astham,astham,kanni,kanni,#REF!,0
astham,chithirai 1 2padham,kanni,kanni,#REF!,1
astham,chithirai 3 4 padham,kanni,thualam,#REF!,0
astham,swathi,kanni,thualam,#REF!,0
astham,visagam 1 2 3 padham,kanni,thualam,#REF!,1
astham,visagam 4 padham,kanni,viruchagam,#REF!,1
astham,anusam,kanni,viruchagam,#REF!,0
astham,kettai,kanni,viruchagam,#REF!,0
astham,moolam,kanni,dhanush,#REF!,0
astham,pooradam,kanni,dhanush,#REF!,1
astham,uthiradam 1 padham,kanni,dhanush,#REF!,1
astham,uthiradam 2 3 4 padham,kanni,magaram,#REF!,1
astham,thiruvonam,kanni,magaram,#REF!,0
astham,avitam 1 2 padham,kanni,magaram,#REF!,1
astham,avitam 3 4 padam,kanni,kumbam,#REF!,0
astham,sathayam,kanni,kumbam,#REF!,0
astham,pooratadhi 1 2 3 padham,kanni,kumbam,#REF!,1
astham,pooratadhi 4 padham,kanni,meenam,#REF!,1
astham,uthiraithadhi,kanni,meenam,#REF!,1
astham,revathi,kanni,meenam,#REF!,1
chithirai 1 2padham,aswini,kanni,mesam,#REF!,0
chithirai 1 2padham,bharani,kanni,mesam,#REF!,0
chithirai 1 2padham,karthigai 1 padham,kanni,mesam,#REF!,0
chithirai 1 2padham,karthigai 2 3 4 padham,kanni,rishabam,#REF!,1
chithirai 1 2padham,rohini,kanni,rishabam,#REF!,1
chithirai 1 2padham,mirugasirisham 1 2 padham,kanni,rishabam,#REF!,0
chithirai 1 2padham,mirugasirisham 3 4 padham,kanni,mithunam,#REF!,0
chithirai 1 2padham,thiruvadhirai,kanni,mithunam,#REF!,1
chithirai 1 2padham,poonarpusham 1 2 3 padham,kanni,mithunam,#REF!,0
chithirai 1 2padham,poonarpusham 4 padham,kanni,kadagam,#REF!,0
chithirai 1 2padham,poosam,kanni,kadagam,#REF!,1
chithirai 1 2padham,ayilyam,kanni,kadagam,#REF!,0
chithirai 1 2padham,magam,kanni,simmam,#REF!,1
chithirai 1 2padham,pooram,kanni,simmam,#REF!,1
chithirai 1 2padham,uthiram 1 padham,kanni,simmam,#REF!,0
chithirai 1 2padham,uthiram 2 3 4 padham,kanni,kanni,#REF!,0
chithirai 1 2padham,astham,kanni,kanni,#REF!,1
chithirai 1 2padham,chithirai 1 2padham,kanni,kanni,#REF!,0
chithirai 1 2padham,chithirai 3 4 padham,kanni,thualam,#REF!,0
chithirai 1 2padham,swathi,kanni,thualam,#REF!,0
chithirai 1 2padham,visagam 1 2 3 padham,kanni,thualam,#REF!,0
chithirai 1 2padham,visagam 4 padham,kanni,viruchagam,#REF!,0
chithirai 1 2padham,anusam,kanni,viruchagam,#REF!,0
chithirai 1 2padham,kettai,kanni,viruchagam,#REF!,0
chithirai 1 2padham,moolam,kanni,dhanush,#REF!,0
chithirai 1 2padham,pooradam,kanni,dhanush,#REF!,0
chithirai 1 2padham,uthiradam 1 padham,kanni,dhanush,#REF!,0
chithirai 1 2padham,uthiradam 2 3 4 padham,kanni,magaram,#REF!,0
chithirai 1 2padham,thiruvonam,kanni,magaram,#REF!,0
chithirai 1 2padham,avitam 1 2 padham,kanni,magaram,#REF!,0
chithirai 1 2padham,avitam 3 4 padam,kanni,kumbam,#REF!,0
chithirai 1 2padham,sathayam,kanni,kumbam,#REF!,1
chithirai 1 2padham,pooratadhi 1 2 3 padham,kanni,kumbam,#REF!,0
chithirai 1 2padham,pooratadhi 4 padham,kanni,meenam,#REF!,1
chithirai 1 2padham,uthiraithadhi,kanni,meenam,#REF!,1
chithirai 1 2padham,revathi,kanni,meenam,#REF!,1
chithirai 3 4 padham,aswini,thualam,mesam,#REF!,1
chithirai 3 4 padham,bharani,thualam,mesam,#REF!,1
chithirai 3 4 padham,karthigai 1 padham,thualam,mesam,#REF!,1
chithirai 3 4 padham,karthigai 2 3 4 padham,thualam,rishabam,#REF!,1
chithirai 3 4 padham,rohini,thualam,rishabam,#REF!,0
chithirai 3 4 padham,mirugasirisham 1 2 padham,thualam,rishabam,#REF!,0
chithirai 3 4 padham,mirugasirisham 3 4 padham,thualam,mithunam,#REF!,0
chithirai 3 4 padham,thiruvadhirai,thualam,mithunam,#REF!,1
chithirai 3 4 padham,poonarpusham 1 2 3 padham,thualam,mithunam,#REF!,0
chithirai 3 4 padham,poonarpusham 4 padham,thualam,kadagam,#REF!,0
chithirai 3 4 padham,poosam,thualam,kadagam,#REF!,1
chithirai 3 4 padham,ayilyam,thualam,kadagam,#REF!,0
chithirai 3 4 padham,magam,thualam,simmam,#REF!,1
chithirai 3 4 padham,pooram,thualam,simmam,#REF!,0
chithirai 3 4 padham,uthiram 1 padham,thualam,simmam,#REF!,0
chithirai 3 4 padham,uthiram 2 3 4 padham,thualam,kanni,#REF!,0
chithirai 3 4 padham,astham,thualam,kanni,#REF!,1
chithirai 3 4 padham,chithirai 1 2padham,thualam,kanni,#REF!,0
chithirai 3 4 padham,chithirai 3 4 padham,thualam,thualam,#REF!,0
chithirai 3 4 padham,swathi,thualam,thualam,#REF!,0
chithirai 3 4 padham,visagam 1 2 3 padham,thualam,thualam,#REF!,0
chithirai 3 4 padham,visagam 4 padham,thualam,viruchagam,#REF!,0
chithirai 3 4 padham,anusam,thualam,viruchagam,#REF!,0
chithirai 3 4 padham,kettai,thualam,viruchagam,#REF!,0
chithirai 3 4 padham,moolam,thualam,dhanush,#REF!,0
chithirai 3 4 padham,pooradam,thualam,dhanush,#REF!,0
chithirai 3 4 padham,uthiradam 1 padham,thualam,dhanush,#REF!,0
chithirai 3 4 padham,uthiradam 2 3 4 padham,thualam,magaram,#REF!,0
chithirai 3 4 padham,thiruvonam,thualam,magaram,#REF!,1
chithirai 3 4 padham,avitam 1 2 padham,thualam,magaram,#REF!,0
chithirai 3 4 padham,avitam 3 4 padam,thualam,kumbam,#REF!,0
chithirai 3 4 padham,sathayam,thualam,kumbam,#REF!,1
chithirai 3 4 padham,pooratadhi 1 2 3 padham,thualam,kumbam,#REF!,0
chithirai 3 4 padham,pooratadhi 4 padham,thualam,meenam,#REF!,0
chithirai 3 4 padham,uthiraithadhi,thualam,meenam,#REF!,0
chithirai 3 4 padham,revathi,thualam,meenam,#REF!,0
swathi,aswini,thualam,mesam,#REF!,0
swathi,bharani,thualam,mesam,#REF!,1
swathi,karthigai 1 padham,thualam,mesam,#REF!,1
swathi,karthigai 2 3 4 padham,thualam,rishabam,#REF!,0
swathi,rohini,thualam,rishabam,#REF!,0
swathi,mirugasirisham 1 2 padham,thualam,rishabam,#REF!,1
swathi,mirugasirisham 3 4 padham,thualam,mithunam,#REF!,1
swathi,thiruvadhirai,thualam,mithunam,#REF!,0
swathi,poonarpusham 1 2 3 padham,thualam,mithunam,#REF!,1
swathi,poonarpusham 4 padham,thualam,kadagam,#REF!,1
swathi,poosam,thualam,kadagam,#REF!,0
swathi,ayilyam,thualam,kadagam,#REF!,1
swathi,magam,thualam,simmam,#REF!,0
swathi,pooram,thualam,simmam,#REF!,1
swathi,uthiram 1 padham,thualam,simmam,#REF!,1
swathi,uthiram 2 3 4 padham,thualam,kanni,#REF!,1
swathi,astham,thualam,kanni,#REF!,0
swathi,chithirai 1 2padham,thualam,kanni,#REF!,1
swathi,chithirai 3 4 padham,thualam,thualam,#REF!,1
swathi,swathi,thualam,thualam,#REF!,0
swathi,visagam 1 2 3 padham,thualam,thualam,#REF!,1
swathi,visagam 4 padham,thualam,viruchagam,#REF!,0
swathi,anusam,thualam,viruchagam,#REF!,0
swathi,kettai,thualam,viruchagam,#REF!,1
swathi,moolam,thualam,dhanush,#REF!,0
swathi,pooradam,thualam,dhanush,#REF!,0
swathi,uthiradam 1 padham,thualam,dhanush,#REF!,0
swathi,uthiradam 2 3 4 padham,thualam,magaram,#REF!,1
swathi,thiruvonam,thualam,magaram,#REF!,0
swathi,avitam 1 2 padham,thualam,magaram,#REF!,1
swathi,avitam 3 4 padam,thualam,kumbam,#REF!,1
swathi,sathayam,thualam,kumbam,#REF!,0
swathi,pooratadhi 1 2 3 padham,thualam,kumbam,#REF!,1
swathi,pooratadhi 4 padham,thualam,meenam,#REF!,1
swathi,uthiraithadhi,thualam,meenam,#REF!,0
swathi,revathi,thualam,meenam,#REF!,1
visagam 1 2 3 padham,aswini,thualam,mesam,#REF!,1
visagam 1 2 3 padham,bharani,thualam,mesam,#REF!,0
visagam 1 2 3 padham,karthigai 1 padham,thualam,mesam,#REF!,0
visagam 1 2 3 padham,karthigai 2 3 4 padham,thualam,rishabam,#REF!,0
visagam 1 2 3 padham,rohini,thualam,rishabam,#REF!,0
visagam 1 2 3 padham,mirugasirisham 1 2 padham,thualam,rishabam,#REF!,0
visagam 1 2 3 padham,mirugasirisham 3 4 padham,thualam,mithunam,#REF!,1
visagam 1 2 3 padham,thiruvadhirai,thualam,mithunam,#REF!,1
visagam 1 2 3 padham,poonarpusham 1 2 3 padham,thualam,mithunam,#REF!,0
visagam 1 2 3 padham,poonarpusham 4 padham,thualam,kadagam,#REF!,0
visagam 1 2 3 padham,poosam,thualam,kadagam,#REF!,0
visagam 1 2 3 padham,ayilyam,thualam,kadagam,#REF!,0
visagam 1 2 3 padham,magam,thualam,simmam,#REF!,1
visagam 1 2 3 padham,pooram,thualam,simmam,#REF!,0
visagam 1 2 3 padham,uthiram 1 padham,thualam,simmam,#REF!,0
visagam 1 2 3 padham,uthiram 2 3 4 padham,thualam,kanni,#REF!,0
visagam 1 2 3 padham,astham,thualam,kanni,#REF!,1
visagam 1 2 3 padham,chithirai 1 2padham,thualam,kanni,#REF!,1
visagam 1 2 3 padham,chithirai 3 4 padham,thualam,thualam,#REF!,1
visagam 1 2 3 padham,swathi,thualam,thualam,#REF!,1
visagam 1 2 3 padham,visagam 1 2 3 padham,thualam,thualam,#REF!,0
visagam 1 2 3 padham,visagam 4 padham,thualam,viruchagam,#REF!,0
visagam 1 2 3 padham,anusam,thualam,viruchagam,#REF!,0
visagam 1 2 3 padham,kettai,thualam,viruchagam,#REF!,0
visagam 1 2 3 padham,moolam,thualam,dhanush,#REF!,1
visagam 1 2 3 padham,pooradam,thualam,dhanush,#REF!,0
visagam 1 2 3 padham,uthiradam 1 padham,thualam,dhanush,#REF!,0
visagam 1 2 3 padham,uthiradam 2 3 4 padham,thualam,magaram,#REF!,0
visagam 1 2 3 padham,thiruvonam,thualam,magaram,#REF!,1
visagam 1 2 3 padham,avitam 1 2 padham,thualam,magaram,#REF!,1
visagam 1 2 3 padham,avitam 3 4 padam,thualam,kumbam,#REF!,1
visagam 1 2 3 padham,sathayam,thualam,kumbam,#REF!,1
visagam 1 2 3 padham,pooratadhi 1 2 3 padham,thualam,kumbam,#REF!,0
visagam 1 2 3 padham,pooratadhi 4 padham,thualam,meenam,#REF!,0
visagam 1 2 3 padham,uthiraithadhi,thualam,meenam,#REF!,0
visagam 1 2 3 padham,revathi,thualam,meenam,#REF!,0
visagam 4 padham,aswini,viruchagam,mesam,#REF!,1
visagam 4 padham,bharani,viruchagam,mesam,#REF!,0
visagam 4 padham,karthigai 1 padham,viruchagam,mesam,#REF!,0
visagam 4 padham,karthigai 2 3 4 padham,viruchagam,rishabam,#REF!,0
visagam 4 padham,rohini,viruchagam,rishabam,#REF!,1
visagam 4 padham,mirugasirisham 1 2 padham,viruchagam,rishabam,#REF!,1
visagam 4 padham,mirugasirisham 3 4 padham,viruchagam,mithunam,#REF!,0
visagam 4 padham,thiruvadhirai,viruchagam,mithunam,#REF!,0
visagam 4 padham,poonarpusham 1 2 3 padham,viruchagam,mithunam,#REF!,0
visagam 4 padham,poonarpusham 4 padham,viruchagam,kadagam,#REF!,0
visagam 4 padham,poosam,viruchagam,kadagam,#REF!,1
visagam 4 padham,ayilyam,viruchagam,kadagam,#REF!,1
visagam 4 padham,magam,viruchagam,simmam,#REF!,1
visagam 4 padham,pooram,viruchagam,simmam,#REF!,0
visagam 4 padham,uthiram 1 padham,viruchagam,simmam,#REF!,0
visagam 4 padham,uthiram 2 3 4 padham,viruchagam,kanni,#REF!,0
visagam 4 padham,astham,viruchagam,kanni,#REF!,1
visagam 4 padham,chithirai 1 2padham,viruchagam,kanni,#REF!,1
visagam 4 padham,chithirai 3 4 padham,viruchagam,thualam,#REF!,1
visagam 4 padham,swathi,viruchagam,thualam,#REF!,1
visagam 4 padham,visagam 1 2 3 padham,viruchagam,thualam,#REF!,0
visagam 4 padham,visagam 4 padham,viruchagam,viruchagam,#REF!,0
visagam 4 padham,anusam,viruchagam,viruchagam,#REF!,0
visagam 4 padham,kettai,viruchagam,viruchagam,#REF!,0
visagam 4 padham,moolam,viruchagam,dhanush,#REF!,1
visagam 4 padham,pooradam,viruchagam,dhanush,#REF!,0
visagam 4 padham,uthiradam 1 padham,viruchagam,dhanush,#REF!,0
visagam 4 padham,uthiradam 2 3 4 padham,viruchagam,magaram,#REF!,0
visagam 4 padham,thiruvonam,viruchagam,magaram,#REF!,0
visagam 4 padham,avitam 1 2 padham,viruchagam,magaram,#REF!,1
visagam 4 padham,avitam 3 4 padam,viruchagam,kumbam,#REF!,1
visagam 4 padham,sathayam,viruchagam,kumbam,#REF!,1
visagam 4 padham,pooratadhi 1 2 3 padham,viruchagam,kumbam,#REF!,0
visagam 4 padham,pooratadhi 4 padham,viruchagam,meenam,#REF!,0
visagam 4 padham,uthiraithadhi,viruchagam,meenam,#REF!,0
visagam 4 padham,revathi,viruchagam,meenam,#REF!,0
anusam,aswini,viruchagam,mesam,#REF!,0
anusam,bharani,viruchagam,mesam,#REF!,0
anusam,karthigai 1 padham,viruchagam,mesam,#REF!,0
anusam,karthigai 2 3 4 padham,viruchagam,rishabam,#REF!,1
anusam,rohini,viruchagam,rishabam,#REF!,1
anusam,mirugasirisham 1 2 padham,viruchagam,rishabam,#REF!,1
anusam,mirugasirisham 3 4 padham,viruchagam,mithunam,#REF!,0
anusam,thiruvadhirai,viruchagam,mithunam,#REF!,0
anusam,poonarpusham 1 2 3 padham,viruchagam,mithunam,#REF!,0
anusam,poonarpusham 4 padham,viruchagam,kadagam,#REF!,1
anusam,poosam,viruchagam,kadagam,#REF!,0
anusam,ayilyam,viruchagam,kadagam,#REF!,1
anusam,magam,viruchagam,simmam,#REF!,1
anusam,pooram,viruchagam,simmam,#REF!,0
anusam,uthiram 1 padham,viruchagam,simmam,#REF!,1
anusam,uthiram 2 3 4 padham,viruchagam,kanni,#REF!,1
anusam,astham,viruchagam,kanni,#REF!,1
anusam,chithirai 1 2padham,viruchagam,kanni,#REF!,1
anusam,chithirai 3 4 padham,viruchagam,thualam,#REF!,1
anusam,swathi,viruchagam,thualam,#REF!,1
anusam,visagam 1 2 3 padham,viruchagam,thualam,#REF!,1
anusam,visagam 4 padham,viruchagam,viruchagam,#REF!,1
anusam,anusam,viruchagam,viruchagam,#REF!,0
anusam,kettai,viruchagam,viruchagam,#REF!,1
anusam,moolam,viruchagam,dhanush,#REF!,0
anusam,pooradam,viruchagam,dhanush,#REF!,0
anusam,uthiradam 1 padham,viruchagam,dhanush,#REF!,0
anusam,uthiradam 2 3 4 padham,viruchagam,magaram,#REF!,0
anusam,thiruvonam,viruchagam,magaram,#REF!,0
anusam,avitam 1 2 padham,viruchagam,magaram,#REF!,0
anusam,avitam 3 4 padam,viruchagam,kumbam,#REF!,0
anusam,sathayam,viruchagam,kumbam,#REF!,1
anusam,pooratadhi 1 2 3 padham,viruchagam,kumbam,#REF!,1
anusam,pooratadhi 4 padham,viruchagam,meenam,#REF!,1
anusam,uthiraithadhi,viruchagam,meenam,#REF!,0
anusam,revathi,viruchagam,meenam,#REF!,1
kettai,aswini,viruchagam,mesam,#REF!,0
kettai,bharani,viruchagam,mesam,#REF!,0
kettai,karthigai 1 padham,viruchagam,mesam,#REF!,1
kettai,karthigai 2 3 4 padham,viruchagam,rishabam,#REF!,1
kettai,rohini,viruchagam,rishabam,#REF!,0
kettai,mirugasirisham 1 2 padham,viruchagam,rishabam,#REF!,0
kettai,mirugasirisham 3 4 padham,viruchagam,mithunam,#REF!,0
kettai,thiruvadhirai,viruchagam,mithunam,#REF!,0
kettai,poonarpusham 1 2 3 padham,viruchagam,mithunam,#REF!,0
kettai,poonarpusham 4 padham,viruchagam,kadagam,#REF!,1
kettai,poosam,viruchagam,kadagam,#REF!,1
kettai,ayilyam,viruchagam,kadagam,#REF!,0
kettai,magam,viruchagam,simmam,#REF!,0
kettai,pooram,viruchagam,simmam,#REF!,0
kettai,uthiram 1 padham,viruchagam,simmam,#REF!,1
kettai,uthiram 2 3 4 padham,viruchagam,kanni,#REF!,1
kettai,astham,viruchagam,kanni,#REF!,0
kettai,chithirai 1 2padham,viruchagam,kanni,#REF!,1
kettai,chithirai 3 4 padham,viruchagam,thualam,#REF!,1
kettai,swathi,viruchagam,thualam,#REF!,1
kettai,visagam 1 2 3 padham,viruchagam,thualam,#REF!,1
kettai,visagam 4 padham,viruchagam,viruchagam,#REF!,1
