femalestar,malestar,femalerasi,malerasi,motha porutham,target
karthigai 2 3 4 padham,mirugasirisham 3 4 padham,rishabam,mithunam,0,0
karthigai 2 3 4 padham,thiruvadhirai,rishabam,mithunam,5,0
karthigai 2 3 4 padham,poonarpusham 1 2 3 padham,rishabam,mithunam,6,0
karthigai 2 3 4 padham,poonarpusham 4 padham,rishabam,kadagam,6,0
karthigai 2 3 4 padham,poosam,rishabam,kadagam,6,0
karthigai 2 3 4 padham,ayilyam,rishabam,kadagam,0,0
karthigai 2 3 4 padham,magam,rishabam,simmam,0,0
karthigai 2 3 4 padham,pooram,rishabam,simmam,7,1
karthigai 2 3 4 padham,uthiram 1 padham,rishabam,simmam,6,0
karthigai 2 3 4 padham,uthiram 2 3 4 padham,rishabam,kanni,8,1
karthigai 2 3 4 padham,astham,rishabam,kanni,6,0
karthigai 2 3 4 padham,chithirai 1 2padham,rishabam,kanni,0,0
karthigai 2 3 4 padham,chithirai 3 4 padham,rishabam,thualam,0,0
karthigai 2 3 4 padham,swathi,rishabam,thualam,7,1
karthigai 2 3 4 padham,visagam 1 2 3 padham,rishabam,thualam,7,1
karthigai 2 3 4 padham,visagam 4 padham,rishabam,viruchagam,6,0
karthigai 2 3 4 padham,anusam,rishabam,viruchagam,6,0
karthigai 2 3 4 padham,kettai,rishabam,viruchagam,0,0
karthigai 2 3 4 padham,moolam,rishabam,dhanush,0,0
karthigai 2 3 4 padham,pooradam,rishabam,dhanush,8,1
karthigai 2 3 4 padham,uthiradam 1 padham,rishabam,dhanush,7,1
karthigai 2 3 4 padham,uthiradam 2 3 4 padham,rishabam,magaram,9,1
karthigai 2 3 4 padham,thiruvonam,rishabam,magaram,7,1
karthigai 2 3 4 padham,avitam 1 2 padham,rishabam,magaram,0,0
karthigai 2 3 4 padham,avitam 3 4 padam,rishabam,kumbam,0,0
karthigai 2 3 4 padham,sathayam,rishabam,kumbam,9,1
karthigai 2 3 4 padham,pooratadhi 1 2 3 padham,rishabam,kumbam,9,1
karthigai 2 3 4 padham,pooratadhi 4 padham,rishabam,meenam,8,1
karthigai 2 3 4 padham,uthiraithadhi,rishabam,meenam,8,1
karthigai 2 3 4 padham,revathi,rishabam,meenam,0,0
rohini,aswini,rishabam,mesam,0,0
rohini,bharani,rishabam,mesam,7,1
rohini,karthigai 1 padham,rishabam,mesam,5,0
rohini,karthigai 2 3 4 padham,rishabam,rishabam,5,0
rohini,rohini,rishabam,rishabam,0,0
rohini,mirugasirisham 1 2 padham,rishabam,rishabam,5,0
rohini,mirugasirisham 3 4 padham,rishabam,mithunam,4,0
rohini,thiruvadhirai,rishabam,mithunam,5,0
rohini,poonarpusham 1 2 3 padham,rishabam,mithunam,5,0
rohini,poonarpusham 4 padham,rishabam,kadagam,5,0
rohini,poosam,rishabam,kadagam,6,0
rohini,ayilyam,rishabam,kadagam,6,0
rohini,magam,rishabam,simmam,7,1
rohini,pooram,rishabam,simmam,0,0
rohini,uthiram 1 padham,rishabam,simmam,7,1
rohini,uthiram 2 3 4 padham,rishabam,kanni,6,0
rohini,astham,rishabam,kanni,0,0
rohini,chithirai 1 2padham,rishabam,kanni,6,0
rohini,chithirai 3 4 padham,rishabam,thualam,6,0
rohini,swathi,rishabam,thualam,7,1
rohini,visagam 1 2 3 padham,rishabam,thualam,6,0
rohini,visagam 4 padham,rishabam,viruchagam,5,0
rohini,anusam,rishabam,viruchagam,6,0
rohini,kettai,rishabam,viruchagam,5,0
rohini,moolam,rishabam,dhanush,7,1
rohini,pooradam,rishabam,dhanush,0,0
rohini,uthiradam 1 padham,rishabam,dhanush,8,1
rohini,uthiradam 2 3 4 padham,rishabam,magaram,7,1
rohini,thiruvonam,rishabam,magaram,0,0
rohini,avitam 1 2 padham,rishabam,magaram,7,1
rohini,avitam 3 4 padam,rishabam,kumbam,8,1
rohini,sathayam,rishabam,kumbam,9,1
rohini,pooratadhi 1 2 3 padham,rishabam,kumbam,9,1
rohini,pooratadhi 4 padham,rishabam,meenam,8,1
rohini,uthiraithadhi,rishabam,meenam,8,1
rohini,revathi,rishabam,meenam,8,1
mirugasirisam 1 2 padham,aswini,rishabam,mesam,8,1
mirugasirisam 1 2 padham,bharani,rishabam,mesam,0,0
mirugasirisam 1 2 padham,karthigai 1 padham,rishabam,mesam,7,1
mirugasirisam 1 2 padham,karthigai 2 3 4 padham,rishabam,rishabam,0,0
mirugasirisam 1 2 padham,rohini,rishabam,rishabam,5,0
mirugasirisam 1 2 padham,mirugasirisham 1 2 padham,rishabam,rishabam,7,1
mirugasirisam 1 2 padham,mirugasirisham 3 4 padham,rishabam,mithunam,6,0
mirugasirisam 1 2 padham,thiruvadhirai,rishabam,mithunam,4,0
mirugasirisam 1 2 padham,poonarpusham 1 2 3 padham,rishabam,mithunam,5,0
mirugasirisam 1 2 padham,poonarpusham 4 padham,rishabam,kadagam,5,0
mirugasirisam 1 2 padham,poosam,rishabam,kadagam,5,0
mirugasirisam 1 2 padham,ayilyam,rishabam,kadagam,6,0
mirugasirisam 1 2 padham,magam,rishabam,simmam,7,1
mirugasirisam 1 2 padham,pooram,rishabam,simmam,7,1
mirugasirisam 1 2 padham,uthiram 1 padham,rishabam,simmam,0,0
mirugasirisam 1 2 padham,uthiram 2 3 4 padham,rishabam,kanni,0,0
mirugasirisam 1 2 padham,astham,rishabam,kanni,6,0
mirugasirisam 1 2 padham,chithirai 1 2padham,rishabam,kanni,8,1
mirugasirisam 1 2 padham,chithirai 3 4 padham,rishabam,thualam,8,1
