,femalestar,malestar,femalerasi,malerasi,motha porutham,target
1002,31,5,6,4,6,0
1003,31,26,6,4,8,1
1004,31,21,6,4,0,0
1005,31,22,6,6,0,0
1006,31,32,6,6,6,0
1007,31,24,6,6,6,0
1008,29,3,6,7,5,0
1009,29,7,6,7,6,0
1010,29,10,6,7,5,0
1011,29,11,6,9,6,0
1012,29,25,6,9,0,0
1013,29,14,6,9,7,1
1014,29,15,6,8,7,1
1015,29,28,6,8,0,0
1016,29,17,6,8,8,1
1017,29,18,6,2,8,1
1018,29,23,6,2,5,0
1019,29,6,6,2,7,1
1020,29,13,6,10,6,0
1021,29,20,6,10,6,0
1022,29,33,6,10,6,0
1023,29,34,6,3,8,1
1024,29,2,6,3,0,0
1025,29,8,6,3,8,1
1026,29,9,6,11,8,1
1027,29,27,6,11,0,0
1028,29,35,6,11,9,1
1029,29,36,6,12,8,1
1030,29,1,6,12,6,0
1031,29,12,6,12,7,1
1032,29,16,6,1,8,1
1033,29,19,6,1,8,1
1034,29,30,6,1,8,1
1035,29,31,6,5,8,1
1036,29,29,6,5,6,0
1037,29,4,6,5,7,1
1038,29,5,6,4,7,1
1039,29,26,6,4,0,0
1040,29,21,6,4,9,1
1041,29,22,6,6,7,1
1042,29,32,6,6,5,0
1043,29,24,6,6,6,0
1044,4,3,6,7,4,0
1045,4,7,6,7,3,0
1046,4,10,6,7,6,0
1047,4,11,6,9,6,0
1048,4,25,6,9,6,0
1049,4,14,6,9,0,0
1050,4,15,6,8,0,0
1051,4,28,6,8,6,0
1052,4,17,6,8,5,0
1053,4,18,6,2,5,0
1054,4,23,6,2,7,1
1055,4,6,6,2,6,0
1056,4,13,6,10,6,0
1057,4,20,6,10,5,0
1058,4,33,6,10,5,0
1059,4,34,6,3,8,1
1060,4,2,6,3,7,1
1061,4,8,6,3,0,0
1062,4,9,6,11,0,0
1063,4,27,6,11,7,1
1064,4,35,6,11,7,1
1065,4,36,6,12,7,1
1066,4,1,6,12,7,1
1067,4,12,6,12,6,0
1068,4,16,6,1,8,1
1069,4,19,6,1,7,1
1070,4,30,6,1,7,1
1071,4,31,6,5,8,1
1072,4,29,6,5,7,1
1073,4,4,6,5,0,0
1074,4,5,6,4,0,0
1075,4,26,6,4,7,1
1076,4,21,6,4,5,0
1077,4,22,6,6,4,0
1078,4,32,6,6,6,0
1079,4,24,6,6,3,0
1080,5,3,4,7,4,0
1081,5,7,4,7,3,0
1082,5,10,4,7,6,0
1083,5,11,4,9,7,1
1084,5,25,4,9,6,0
1085,5,14,4,9,0,0
1086,5,15,4,8,0,0
1087,5,28,4,8,6,0
1088,5,17,4,8,5,0
1089,5,18,4,2,4,0
1090,5,23,4,2,6,0
1091,5,6,4,2,5,0
1092,5,13,4,10,7,1
1093,5,20,4,10,6,0
1094,5,33,4,10,6,0
1095,5,34,4,3,6,0
1096,5,2,4,3,6,0
1097,5,8,4,3,0,0
1098,5,9,4,11,0,0
1099,5,27,4,11,7,1
1100,5,35,4,11,7,1
1101,5,36,4,12,6,0
1102,5,1,4,12,7,1
1103,5,12,4,12,6,0
1104,5,16,4,1,8,1
1105,5,19,4,1,6,0
1106,5,30,4,1,7,1
1107,5,31,4,5,8,1
1108,5,29,4,5,7,1
1109,5,4,4,5,0,0
1110,5,5,4,4,0,0
1111,5,26,4,4,7,1
1112,5,21,4,4,5,0
1113,5,22,4,6,5,0
1114,5,32,4,6,7,1
1115,5,24,4,6,4,0
1116,26,3,4,7,3,0
1117,26,7,4,7,4,0
1118,26,10,4,7,5,0
1119,26,11,4,9,6,0
1120,26,25,4,9,0,0
1121,26,14,4,9,6,0
1122,26,15,4,8,6,0
1123,26,28,4,8,0,0
1124,26,17,4,8,6,0
1125,26,18,4,2,5,0
1126,26,23,4,2,4,0
1127,26,6,4,2,7,1
1128,26,13,4,10,6,0
1129,26,20,4,10,6,0
1130,26,33,4,10,6,0
1131,26,34,4,3,6,0
1132,26,2,4,3,0,0
1133,26,8,4,3,8,1
1134,26,9,4,11,8,1
1135,26,27,4,11,0,0
1136,26,35,4,11,8,1
1137,26,36,4,12,7,1
1138,26,1,4,12,5,0
1139,26,12,4,12,8,1
1140,26,16,4,1,7,1
1141,26,19,4,1,7,1
1142,26,30,4,1,7,1
1143,26,31,4,5,7,1
1144,26,29,4,5,0,0
1145,26,4,4,5,8,1
1146,26,5,4,4,8,1
1147,26,26,4,4,0,0
1148,26,21,4,4,6,0
1149,26,22,4,6,6,0
1150,26,32,4,6,5,0
1151,26,24,4,6,7,1
1152,21,3,4,7,6,0
1153,21,7,4,7,3,0
1154,21,10,4,7,0,0
1155,21,11,4,9,0,0
1156,21,25,4,9,6,0
1157,21,14,4,9,7,1
1158,21,15,4,8,7,1
1159,21,28,4,8,7,1
1160,21,17,4,8,0,0
1161,21,18,4,2,0,0
1162,21,23,4,2,6,0
1163,21,6,4,2,5,0
1164,21,13,4,10,8,1
1165,21,20,4,10,6,0
1166,21,33,4,10,0,0
1167,21,34,4,3,0,0
1168,21,2,4,3,7,1
1169,21,8,4,3,7,1
1170,21,9,4,11,8,1
1171,21,27,4,11,8,1
1172,21,35,4,11,0,0
1173,21,36,4,12,0,0
1174,21,1,4,12,8,1
1175,21,12,4,12,6,0
1176,21,16,4,1,9,1
1177,21,19,4,1,7,1
1178,21,30,4,1,0,0
1179,21,31,4,5,0,0
1180,21,29,4,5,8,1
1181,21,4,4,5,8,1
1182,21,5,4,4,7,1
1183,21,26,4,4,7,1
1184,21,21,4,4,0,0
1185,21,22,4,6,0,0
1186,21,32,4,6,7,1
1187,21,24,4,6,5,0
1188,22,3,7,7,7,1
1189,22,7,7,7,4,0
1190,22,10,7,7,0,0
1191,22,11,7,9,0,0
1192,22,25,7,9,5,0
1193,22,14,7,9,6,0
1194,22,15,7,8,6,0
1195,22,28,7,8,6,0
1196,22,17,7,8,0,0
1197,22,18,7,2,0,0
1198,22,23,7,2,7,1
1199,22,6,7,2,6,0
1200,22,13,7,10,8,1
1201,22,20,7,10,6,0
1202,22,33,7,10,0,0
1203,22,34,7,3,0,0
1204,22,2,7,3,7,1
1205,22,8,7,3,7,1
1206,22,9,7,11,6,0
1207,22,27,7,11,6,0
1208,22,35,7,11,0,0
1209,22,36,7,12,0,0
1210,22,1,7,12,8,1
1211,22,12,7,12,7,1
1212,22,16,7,1,9,1
1213,22,19,7,1,7,1
1214,22,30,7,1,0,0
1215,22,31,7,5,0,0
1216,22,29,7,5,9,1
1217,22,4,7,5,9,1
1218,22,5,7,4,8,1
1219,22,26,7,4,8,1
1220,22,21,7,4,0,0
1221,22,22,7,6,0,0
1222,22,32,7,6,7,1
1223,22,24,7,6,5,0
1224,32,3,7,7,5,0
1225,32,7,7,7,0,0
1226,32,10,7,7,5,0
1227,32,11,7,9,4,0
1228,32,25,7,9,5,0
1229,32,14,7,9,5,0
1230,32,15,7,8,5,0
1231,32,28,7,8,6,0
1232,32,17,7,8,6,0
1233,32,18,7,2,7,1
1234,32,23,7,2,0,0
1235,32,6,7,2,7,1
1236,32,13,7,10,6,0
1237,32,20,7,10,0,0
1238,32,33,7,10,6,0
1239,32,34,7,3,6,0
1240,32,2,7,3,7,1
1241,32,8,7,3,6,0
1242,32,9,7,11,5,0
1243,32,27,7,11,6,0
1244,32,35,7,11,5,0
1245,32,36,7,12,7,1
1246,32,1,7,12,0,0
1247,32,12,7,12,8,1
1248,32,16,7,1,7,1
1249,32,19,7,1,0,0
1250,32,30,7,1,7,1
1251,32,31,7,5,8,1
1252,32,29,7,5,9,1
1253,32,4,7,5,9,1
1254,32,5,7,4,8,1
1255,32,26,7,4,8,1
1256,32,21,7,4,8,1
1257,32,22,7,6,8,1
1258,32,32,7,6,0,0
1259,32,24,7,6,7,1
1260,24,3,7,7,0,0
1261,24,7,7,7,5,0
1262,24,10,7,7,7,1
1263,24,11,7,9,6,0
1264,24,25,7,9,4,0
1265,24,14,7,9,5,0
1266,24,15,7,8,5,0
1267,24,28,7,8,5,0
1268,24,17,7,8,6,0
1269,24,18,7,2,7,1
1270,24,23,7,2,7,1
1271,24,6,7,2,0,0
1272,24,13,7,10,0,0
1273,24,20,7,10,6,0
1274,24,33,7,10,8,1
1275,24,34,7,3,8,1
1276,24,2,7,3,6,0
1277,24,8,7,3,7,1
1278,24,9,7,11,6,0
1279,24,27,7,11,6,0
1280,24,35,7,11,6,0
1281,24,36,7,12,8,1
1282,24,1,7,12,8,1
1283,24,12,7,12,0,0
1284,24,16,7,1,0,0
1285,24,19,7,1,7,1
1286,24,30,7,1,9,1
1287,24,31,7,5,10,1
1288,24,29,7,5,8,1
1289,24,4,7,5,8,1
1290,24,5,7,4,7,1
1291,24,26,7,4,8,1
1292,24,21,7,4,7,1
1293,24,22,7,6,7,1
1294,24,32,7,6,8,1
1295,24,24,7,6,0,0
