femalestar,malestar,femalerasi,malerasi,thinam porutham,kanam porutham,magendhiram porutham,sthirthirgam porutham,yoni porutham,Rasi porutham,rasi adhipathi porutham,vasiyam porutham,raji porutham,vedhai porutham,motha_porutham,target,inputs
mirugasirisham 3 4 padham,uthiradam 2 3 4 padham,mithunam,magaram,1,1,0,1,1,0,1,0,1,1,7,1,12457910
mirugasirisham 3 4 padham,thiruvonam,mithunam,magaram,1,1,0,1,1,0,1,0,1,1,7,1,12457910
mirugasirisham 3 4 padham,avitam 1 2 padham,mithunam,magaram,0,0,0,0,0,0,0,0,0,0,0,0,b
mirugasirisham 3 4 padham,avitam 3 4 padam,mithunam,kumbam,0,0,0,0,0,0,0,0,0,0,0,0,b
mirugasirisham 3 4 padham,sathayam,mithunam,kumbam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
mirugasirisham 3 4 padham,pooratadhi 1 2 3 padham,mithunam,kumbam,0,1,0,1,1,1,1,0,1,1,7,1,24567910
mirugasirisham 3 4 padham,pooratadhi 4 padham,mithunam,meenam,0,1,0,1,1,1,1,0,1,1,7,1,24567910
mirugasirisham 3 4 padham,uthiraithadhi,mithunam,meenam,1,1,1,1,1,1,1,0,1,1,9,1,1234567910
mirugasirisham 3 4 padham,revathi,mithunam,meenam,0,1,0,1,1,1,1,0,1,1,7,1,24567910
thiruvadhirai,aswini,mithunam,mesam,0,1,0,1,1,1,1,0,1,1,7,1,24567910
thiruvadhirai,bharani,mithunam,mesam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
thiruvadhirai,karthigai 1 padham,mithunam,mesam,0,1,1,1,1,1,1,0,1,1,8,1,234567910
thiruvadhirai,karthigai 2 3 4 padham,mithunam,rishabam,0,1,1,1,1,1,1,0,1,1,8,1,234567910
thiruvadhirai,rohini,mithunam,rishabam,0,0,0,0,0,0,0,0,0,0,0,0,b
thiruvadhirai,mirugasirisham 1 2 padham,mithunam,rishabam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
thiruvadhirai,mirugasirisham 3 4 padham,mithunam,mithunam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
thiruvadhirai,thiruvadhirai,mithunam,mithunam,0,1,1,0,1,1,1,0,0,1,6,1,2356710
thiruvadhirai,poonarpusham 1 2 3 padham,mithunam,mithunam,1,1,0,0,0,1,1,0,1,1,6,1,1267910
thiruvadhirai,poonarpusham 4 padham,mithunam,kadagam,1,1,0,0,0,0,0,0,1,1,4,0,12910
thiruvadhirai,poosam,mithunam,kadagam,0,1,0,0,1,0,0,0,1,1,4,0,25910
thiruvadhirai,ayilyam,mithunam,kadagam,1,1,1,0,0,0,0,0,1,1,5,0,123910
thiruvadhirai,magam,mithunam,simmam,0,1,0,0,1,0,1,0,1,1,5,0,257910
thiruvadhirai,pooram,mithunam,simmam,1,1,0,0,1,0,1,0,1,1,6,1,1257910
thiruvadhirai,uthiram 1 padham,mithunam,simmam,0,1,1,0,1,0,1,0,1,1,6,1,2357910
thiruvadhirai,uthiram 2 3 4 padham,mithunam,kanni,0,1,1,0,1,0,1,1,1,1,7,1,23578910
thiruvadhirai,astham,mithunam,kanni,0,0,0,0,0,0,0,0,0,0,0,0,b
thiruvadhirai,chithirai 1 2padham,mithunam,kanni,1,1,0,1,1,0,1,0,1,1,7,1,12457910
thiruvadhirai,chithirai 3 4 padham,mithunam,thualam,1,1,0,1,1,0,1,0,1,1,7,1,12457910
thiruvadhirai,swathi,mithunam,thualam,0,0,0,0,0,0,0,0,0,0,0,0,b
thiruvadhirai,visagam 1 2 3 padham,mithunam,thualam,1,1,0,1,1,0,1,0,1,1,7,1,12457910
thiruvadhirai,visagam 4 padham,mithunam,viruchagam,1,1,0,1,1,0,1,0,1,1,7,1,12457910
thiruvadhirai,anusam,mithunam,viruchagam,0,1,0,1,0,0,1,0,1,1,5,0,247910
thiruvadhirai,kettai,mithunam,viruchagam,1,1,1,0,1,0,1,0,1,1,7,1,12357910
thiruvadhirai,moolam,mithunam,dhanush,0,1,0,1,1,1,1,0,1,1,7,1,24567910
thiruvadhirai,pooradam,mithunam,dhanush,1,1,0,1,1,1,1,0,1,1,8,1,124567910
thiruvadhirai,uthiradam 1 padham,mithunam,dhanush,0,1,1,1,1,1,1,0,1,1,8,1,234567910
thiruvadhirai,uthiradam 2 3 4 padham,mithunam,magaram,0,1,1,1,1,0,1,0,1,1,7,1,23457910
thiruvadhirai,thiruvonam,mithunam,magaram,0,0,0,0,0,0,0,0,0,0,0,0,b
thiruvadhirai,avitam 1 2 padham,mithunam,magaram,1,1,0,1,1,0,1,0,1,1,7,1,12457910
thiruvadhirai,avitam 3 4 padam,mithunam,kumbam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
thiruvadhirai,sathayam,mithunam,kumbam,0,0,0,0,0,0,0,0,0,0,0,0,b
thiruvadhirai,pooratadhi 1 2 3 padham,mithunam,kumbam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
thiruvadhirai,pooratadhi 4 padham,mithunam,meenam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
thiruvadhirai,uthiraithadhi,mithunam,meenam,0,1,0,1,1,1,1,0,1,1,7,1,24567910
thiruvadhirai,revathi,mithunam,meenam,1,1,1,1,1,1,1,0,1,1,9,1,1234567910
poonarpusham 1 2 3 padham,aswini,mithunam,mesam,1,1,1,1,1,1,1,0,1,1,9,1,1234567910
poonarpusham 1 2 3 padham,bharani,mithunam,mesam,0,1,0,1,1,1,1,0,1,1,7,1,24567910
poonarpusham 1 2 3 padham,karthigai 1 padham,mithunam,mesam,0,0,0,0,0,0,0,0,0,0,0,0,b
poonarpusham 1 2 3 padham,karthigai 2 3 4 padham,mithunam,rishabam,0,0,0,0,0,0,0,0,0,0,0,0,b
poonarpusham 1 2 3 padham,rohini,mithunam,rishabam,0,1,1,1,1,1,1,0,1,1,8,1,234567910
poonarpusham 1 2 3 padham,mirugasirisham 1 2 padham,mithunam,rishabam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
poonarpusham 1 2 3 padham,mirugasirisham 3 4 padham,mithunam,mithunam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
poonarpusham 1 2 3 padham,thiruvadhirai,mithunam,mithunam,1,1,0,1,0,1,1,0,1,1,7,1,12467910
poonarpusham 1 2 3 padham,poonarpusham 1 2 3 padham,mithunam,mithunam,0,1,1,0,1,1,1,0,0,1,6,1,2356710
poonarpusham 1 2 3 padham,poonarpusham 4 padham,mithunam,kadagam,0,1,1,0,1,0,0,0,0,1,4,0,23510
poonarpusham 1 2 3 padham,poosam,mithunam,kadagam,1,1,0,0,1,0,0,0,1,1,5,0,125910
poonarpusham 1 2 3 padham,ayilyam,mithunam,kadagam,0,1,0,0,1,0,0,0,1,1,4,0,25910
poonarpusham 1 2 3 padham,magam,mithunam,simmam,1,1,1,0,0,0,1,0,1,1,6,1,1237910
poonarpusham 1 2 3 padham,pooram,mithunam,simmam,0,1,0,0,0,0,1,0,1,0,3,0,279
poonarpusham 1 2 3 padham,uthiram 1 padham,mithunam,simmam,0,0,0,0,0,0,0,0,0,0,0,0,b
poonarpusham 1 2 3 padham,uthiram 2 3 4 padham,mithunam,kanni,0,0,0,0,0,0,0,0,0,0,0,0,b
poonarpusham 1 2 3 padham,astham,mithunam,kanni,0,1,1,0,1,0,1,1,1,1,7,1,23578910
poonarpusham 1 2 3 padham,chithirai 1 2padham,mithunam,kanni,1,1,0,1,1,0,1,1,1,1,8,1,124578910
poonarpusham 1 2 3 padham,chithirai 3 4 padham,mithunam,thualam,1,1,0,1,1,0,1,0,1,1,7,1,12457910
poonarpusham 1 2 3 padham,swathi,mithunam,thualam,1,1,0,1,1,0,1,0,1,1,7,1,12457910
poonarpusham 1 2 3 padham,visagam 1 2 3 padham,mithunam,thualam,0,0,0,0,0,0,0,0,0,0,0,0,b
poonarpusham 1 2 3 padham,visagam 4 padham,mithunam,viruchagam,0,0,0,0,0,0,0,0,0,0,0,0,b
poonarpusham 1 2 3 padham,anusam,mithunam,viruchagam,1,1,0,1,1,0,1,0,1,1,7,1,12457910
poonarpusham 1 2 3 padham,kettai,mithunam,viruchagam,0,1,0,1,1,0,1,0,1,1,6,1,2457910
poonarpusham 1 2 3 padham,moolam,mithunam,dhanush,1,1,1,1,0,1,1,0,1,1,8,1,123467910
poonarpusham 1 2 3 padham,pooradam,mithunam,dhanush,0,1,0,1,1,1,1,0,1,1,7,1,24567910
poonarpusham 1 2 3 padham,uthiradam 1 padham,mithunam,dhanush,0,0,0,0,0,0,0,0,0,0,0,0,b
poonarpusham 1 2 3 padham,uthiradam 2 3 4 padham,mithunam,magaram,0,0,0,0,0,0,0,0,0,0,0,0,b
poonarpusham 1 2 3 padham,thiruvonam,mithunam,magaram,0,1,1,1,1,0,1,0,1,1,7,1,23457910
poonarpusham 1 2 3 padham,avitam 1 2 padham,mithunam,magaram,1,1,0,1,1,0,1,0,1,1,7,1,12457910
poonarpusham 1 2 3 padham,avitam 3 4 padam,mithunam,kumbam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
poonarpusham 1 2 3 padham,sathayam,mithunam,kumbam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
poonarpusham 1 2 3 padham,pooratadhi 1 2 3 padham,mithunam,kumbam,0,0,0,0,0,0,0,0,0,0,0,0,b
poonarpusham 1 2 3 padham,pooratadhi 4 padham,mithunam,meenam,0,0,0,0,0,0,0,0,0,0,0,0,b
poonarpusham 1 2 3 padham,uthiraithadhi,mithunam,meenam,1,1,1,1,1,1,1,0,1,1,9,1,1234567910
poonarpusham 1 2 3 padham,revathi,mithunam,meenam,0,1,0,1,1,1,1,0,1,1,7,1,24567910
poonarpusham 4 padham,aswini,kadagam,mesam,1,1,1,1,1,1,1,0,1,1,9,1,1234567910
poonarpusham 4 padham,bharani,kadagam,mesam,0,1,0,1,1,1,1,0,1,1,7,1,2456790
poonarpusham 4 padham,karthigai 1 padham,kadagam,mesam,0,0,0,0,0,0,0,0,0,0,0,0,b
poonarpusham 4 padham,karthigai 2 3 4 padham,kadagam,rishabam,0,0,0,0,0,0,0,0,0,0,0,0,b
poonarpusham 4 padham,rohini,kadagam,rishabam,0,1,1,1,1,1,1,0,1,1,8,1,234567910
poonarpusham 4 padham,mirugasirisham 1 2 padham,kadagam,rishabam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
poonarpusham 4 padham,mirugasirisham 3 4 padham,kadagam,mithunam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
poonarpusham 4 padham,thiruvadhirai,kadagam,mithunam,1,1,0,1,0,1,1,0,1,1,7,1,12467910
poonarpusham 4 padham,poonarpusham 1 2 3 padham,kadagam,mithunam,0,1,1,0,1,1,1,0,0,1,6,1,2356710
poonarpusham 4 padham,poonarpusham 4 padham,kadagam,kadagam,0,1,1,0,1,1,1,0,0,1,6,1,2356710
poonarpusham 4 padham,poosam,kadagam,kadagam,1,1,0,0,1,1,1,0,1,1,7,1,12567910
poonarpusham 4 padham,ayilyam,kadagam,kadagam,0,1,0,0,1,1,1,0,1,1,6,1,2567910
poonarpusham 4 padham,magam,kadagam,simmam,1,1,1,0,0,0,1,0,1,1,6,1,1237910
poonarpusham 4 padham,pooram,kadagam,simmam,0,1,0,0,0,0,1,0,1,0,3,0,279
poonarpusham 4 padham,uthiram 1 padham,kadagam,simmam,0,0,0,0,0,0,0,0,0,0,0,0,b
poonarpusham 4 padham,uthiram 2 3 4 padham,kadagam,kanni,0,0,0,0,0,0,0,0,0,0,0,0,b
poonarpusham 4 padham,astham,kadagam,kanni,0,1,1,0,1,0,1,0,1,1,6,1,2357910
poonarpusham 4 padham,chithirai 1 2padham,kadagam,kanni,1,1,0,1,1,0,1,0,1,1,7,1,12457910
poonarpusham 4 padham,chithirai 3 4 padham,kadagam,thualam,1,1,0,1,1,0,1,0,1,1,7,1,12457910
poonarpusham 4 padham,swathi,kadagam,thualam,1,1,0,1,1,0,1,0,1,1,7,1,12457910
poonarpusham 4 padham,visagam 1 2 3 padham,kadagam,thualam,0,0,0,0,0,0,0,0,0,0,0,0,b
poonarpusham 4 padham,visagam 4 padham,kadagam,viruchagam,0,0,0,0,0,0,0,0,0,0,0,0,b
poonarpusham 4 padham,anusam,kadagam,viruchagam,1,1,0,1,1,0,1,1,1,1,8,1,124578910
poonarpusham 4 padham,kettai,kadagam,viruchagam,0,1,0,1,1,0,1,1,1,1,7,1,24578910
poonarpusham 4 padham,moolam,kadagam,dhanush,1,1,1,1,0,0,1,1,1,1,8,1,123478910
poonarpusham 4 padham,pooradam,kadagam,dhanush,0,1,0,1,1,0,1,1,1,1,7,1,24578910
poonarpusham 4 padham,uthiradam 1 padham,kadagam,dhanush,0,0,0,0,0,0,0,0,0,0,0,0,b
poonarpusham 4 padham,uthiradam 2 3 4 padham,kadagam,magaram,0,0,0,0,0,0,0,0,0,0,0,0,b
poonarpusham 4 padham,thiruvonam,kadagam,magaram,0,1,1,1,1,1,1,0,1,1,8,1,234567910
poonarpusham 4 padham,avitam 1 2 padham,kadagam,magaram,1,1,0,1,1,1,1,0,1,1,8,1,124567910
poonarpusham 4 padham,avitam 3 4 padam,kadagam,kumbam,1,1,0,1,1,0,1,0,1,1,7,1,12457910
poonarpusham 4 padham,sathayam,kadagam,kumbam,1,1,0,1,1,0,1,0,1,1,7,1,12457910
poonarpusham 4 padham,pooratadhi 1 2 3 padham,kadagam,kumbam,0,0,0,0,0,0,0,0,0,0,0,0,b
poonarpusham 4 padham,pooratadhi 4 padham,kadagam,meenam,0,0,0,0,0,0,0,0,0,0,0,0,b
poonarpusham 4 padham,uthiraithadhi,kadagam,meenam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
poonarpusham 4 padham,revathi,kadagam,meenam,0,1,0,1,1,1,1,0,1,1,7,1,24567910
poosam,aswini,kadagam,mesam,0,1,0,1,1,1,1,0,1,1,7,1,24567910
poosam,bharani,kadagam,mesam,0,0,0,0,0,0,0,0,0,0,0,0,b
poosam,karthigai 1 padham,kadagam,mesam,0,1,0,1,1,1,1,0,1,1,7,1,24567910
poosam,karthigai 2 3 4 padham,kadagam,rishabam,0,1,0,1,1,1,1,0,1,1,7,1,24567910
poosam,rohini,kadagam,rishabam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
poosam,mirugasirisham 1 2 padham,kadagam,rishabam,0,1,1,1,1,1,1,0,1,1,8,1,234567910
poosam,mirugasirisham 3 4 padham,kadagam,mithunam,0,1,1,1,1,1,1,0,1,1,8,1,234567910
poosam,thiruvadhirai,kadagam,mithunam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
poosam,poonarpusham 1 2 3 padham,kadagam,mithunam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
poosam,poonarpusham 4 padham,kadagam,kadagam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
poosam,poosam,kadagam,kadagam,0,1,1,0,1,1,1,0,0,1,6,1,2356710
poosam,ayilyam,kadagam,kadagam,1,1,0,0,1,1,1,0,1,1,7,1,12567910
poosam,magam,kadagam,simmam,0,1,0,0,1,0,1,0,1,1,5,0,257910
poosam,pooram,kadagam,simmam,0,0,0,0,0,0,0,0,0,0,0,0,b
poosam,uthiram 1 padham,kadagam,simmam,0,1,0,0,1,0,1,0,1,1,5,0,257910
poosam,uthiram 2 3 4 padham,kadagam,kanni,0,1,0,0,1,0,1,0,1,1,5,0,257910
poosam,astham,kadagam,kanni,1,1,0,0,1,0,1,0,1,1,6,1,1257910
poosam,chithirai 1 2padham,kadagam,kanni,0,1,1,0,1,0,1,0,1,1,6,1,2357910
poosam,chithirai 3 4 padham,kadagam,thualam,0,1,1,0,1,0,1,0,1,1,6,1,2357910
poosam,swathi,kadagam,thualam,1,1,0,1,1,0,1,0,1,1,7,1,12457910
poosam,visagam 1 2 3 padham,kadagam,thualam,1,1,0,1,1,0,1,0,1,1,7,1,12457910
poosam,visagam 4 padham,kadagam,viruchagam,1,1,0,1,1,0,1,1,1,1,8,1,124578910
poosam,anusam,kadagam,viruchagam,0,0,0,0,0,0,0,0,0,0,0,0,b
poosam,kettai,kadagam,viruchagam,1,1,0,1,1,0,1,1,1,1,8,1,124578910
poosam,moolam,kadagam,dhanush,0,1,0,1,1,0,1,1,1,1,7,1,24578910
poosam,pooradam,kadagam,dhanush,0,0,0,0,0,0,0,0,0,0,0,0,b
poosam,uthiradam 1 padham,kadagam,dhanush,0,1,1,1,1,0,1,1,1,1,8,1,234578910
poosam,uthiradam 2 3 4 padham,kadagam,magaram,0,1,1,1,1,1,1,0,1,1,8,1,234567910
poosam,thiruvonam,kadagam,magaram,1,1,0,1,0,1,1,0,1,1,7,1,12467910
poosam,avitam 1 2 padham,kadagam,magaram,0,1,0,1,1,1,1,0,1,1,7,1,24567910
poosam,avitam 3 4 padam,kadagam,kumbam,0,1,1,1,1,0,1,0,1,1,7,1,23457910
poosam,sathayam,kadagam,kumbam,1,1,0,1,1,0,1,0,1,1,7,1,12457910
poosam,pooratadhi 1 2 3 padham,kadagam,kumbam,1,1,0,1,1,0,1,0,1,1,7,1,12457910
poosam,pooratadhi 4 padham,kadagam,meenam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
poosam,uthiraithadhi,kadagam,meenam,0,0,0,0,0,0,0,0,0,0,0,0,b
poosam,revathi,kadagam,meenam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
ayilyam,aswini,kadagam,mesam,0,0,0,0,0,0,0,0,0,0,0,0,b
ayilyam,bharani,kadagam,mesam,0,0,0,1,1,1,1,0,1,1,6,1,4567910
ayilyam,karthigai 1 padham,kadagam,mesam,1,1,1,1,1,1,1,0,1,1,9,1,1234567910
ayilyam,karthigai 2 3 4 padham,kadagam,rishabam,1,1,1,1,1,1,1,0,1,1,9,1,1234567910
ayilyam,rohini,kadagam,rishabam,0,0,0,1,1,1,1,0,1,1,6,1,4567910
ayilyam,mirugasirisham 1 2 padham,kadagam,rishabam,1,0,0,1,1,1,1,0,1,1,7,1,14567910
ayilyam,mirugasirisham 3 4 padham,kadagam,mithunam,1,0,0,1,1,1,1,0,1,1,7,1,14567910
ayilyam,thiruvadhirai,kadagam,mithunam,0,0,1,1,0,1,1,0,1,1,6,1,3467910
ayilyam,poonarpusham 1 2 3 padham,kadagam,mithunam,1,0,0,1,1,1,1,0,1,1,7,1,14567910
ayilyam,poonarpusham 4 padham,kadagam,kadagam,1,0,0,1,1,1,1,0,1,1,7,1,14567910
ayilyam,poosam,kadagam,kadagam,1,0,0,1,1,1,1,0,1,1,7,1,14567910
ayilyam,ayilyam,kadagam,kadagam,0,0,0,0,0,0,0,0,0,0,0,0,b
ayilyam,magam,kadagam,simmam,0,0,0,0,0,0,0,0,0,0,0,0,b
ayilyam,pooram,kadagam,simmam,0,0,0,0,0,0,1,0,1,1,3,0,7910
ayilyam,uthiram 1 padham,kadagam,simmam,1,0,1,0,1,0,1,0,1,1,6,1,1357910
ayilyam,uthiram 2 3 4 padham,kadagam,kanni,1,0,1,0,1,0,1,0,1,1,6,1,1357910
ayilyam,astham,kadagam,kanni,0,0,0,0,1,0,1,0,1,1,4,0,57910
ayilyam,chithirai 1 2padham,kadagam,kanni,1,1,0,0,1,0,1,0,1,1,6,1,1257910
ayilyam,chithirai 3 4 padham,kadagam,thualam,1,1,0,0,1,0,1,0,1,1,6,1,1257910
ayilyam,swathi,kadagam,thualam,0,0,1,0,1,0,1,0,1,1,5,0,357910
ayilyam,visagam 1 2 3 padham,kadagam,thualam,1,1,0,1,1,0,1,0,1,1,7,1,12457910
ayilyam,visagam 4 padham,kadagam,viruchagam,1,1,0,1,1,0,1,1,1,1,8,1,124578910
ayilyam,anusam,kadagam,viruchagam,1,0,0,1,1,0,1,1,1,1,7,1,14578910
ayilyam,kettai,kadagam,viruchagam,0,0,0,0,0,0,0,0,0,0,0,0,b
ayilyam,moolam,kadagam,dhanush,0,0,0,0,0,0,0,0,0,0,0,0,b
ayilyam,pooradam,kadagam,dhanush,0,0,0,1,1,0,1,1,1,1,6,1,4578910
ayilyam,uthiradam 1 padham,kadagam,dhanush,1,1,1,0,1,0,1,1,1,1,8,1,123578910
ayilyam,uthiradam 2 3 4 padham,kadagam,magaram,1,1,1,0,1,0,1,1,1,1,8,1,123578910
ayilyam,thiruvonam,kadagam,magaram,0,0,0,1,1,1,1,0,1,1,6,1,4567910
ayilyam,avitam 1 2 padham,kadagam,magaram,1,1,0,1,1,1,1,0,1,1,8,1,124567910
ayilyam,avitam 3 4 padam,kadagam,kumbam,1,1,0,1,1,0,1,0,1,1,7,1,12457910
ayilyam,sathayam,kadagam,kumbam,0,1,1,1,1,0,1,0,1,1,7,1,23457910
ayilyam,pooratadhi 1 2 3 padham,kadagam,kumbam,1,0,0,1,1,0,1,0,1,1,6,1,1457910
ayilyam,pooratadhi 4 padham,kadagam,meenam,1,0,0,1,1,1,1,0,1,1,7,1,14567910
ayilyam,uthiraithadhi,kadagam,meenam,1,0,0,1,1,1,1,0,1,1,7,1,14567910
ayilyam,revathi,kadagam,meenam,0,0,0,0,0,0,0,0,0,0,0,0,b
magam,aswini,simmam,mesam,0,0,0,0,0,0,0,0,0,0,0,0,b
magam,bharani,simmam,mesam,1,0,0,1,1,1,1,0,1,1,7,1,14567910
magam,karthigai 1 padham,simmam,mesam,0,1,0,1,1,1,1,0,1,1,7,1,24567910
magam,karthigai 2 3 4 padham,simmam,rishabam,0,1,0,1,1,1,0,0,1,1,6,1,2456910
magam,rohini,simmam,rishabam,1,0,1,1,0,1,0,0,1,1,6,1,1346910
magam,mirugasirisham 1 2 padham,simmam,rishabam,0,0,0,1,0,1,0,0,1,1,4,0,46910
magam,mirugasirisham 3 4 padham,simmam,mithunam,0,0,0,1,0,1,1,0,1,1,5,0,467910
magam,thiruvadhirai,simmam,mithunam,1,0,0,1,1,1,1,0,1,1,7,1,14567910
magam,poonarpusham 1 2 3 padham,simmam,mithunam,0,0,1,1,0,1,1,0,1,1,6,1,3467910
magam,poonarpusham 4 padham,simmam,kadagam,0,0,1,1,1,1,1,0,1,1,7,1,34567910
magam,poosam,simmam,kadagam,1,0,0,1,1,1,1,0,1,1,7,1,14567910
magam,ayilyam,simmam,kadagam,0,0,0,0,0,0,0,0,0,0,0,0,b
magam,magam,simmam,simmam,0,1,1,0,1,1,1,0,0,1,6,1,2356710
magam,pooram,simmam,simmam,1,0,0,0,1,1,1,0,1,1,6,1,1567910
magam,uthiram 1 padham,simmam,simmam,0,0,0,0,1,1,1,0,1,1,5,0,567910
magam,uthiram 2 3 4 padham,simmam,kanni,0,0,0,0,1,0,1,0,1,1,4,0,57910
magam,astham,simmam,kanni,1,0,1,0,1,0,1,0,1,1,6,1,1357910
magam,chithirai 1 2padham,simmam,kanni,0,1,0,0,1,0,1,0,1,1,5,0,257910
magam,chithirai 3 4 padham,simmam,thualam,0,1,0,0,1,0,0,0,1,1,4,0,25910
magam,swathi,simmam,thualam,1,0,0,0,1,0,0,0,1,1,4,0,15910
magam,visagam 1 2 3 padham,simmam,thualam,0,1,1,0,1,0,0,0,1,1,5,0,235910
magam,visagam 4 padham,simmam,viruchagam,0,1,1,0,1,0,1,0,1,1,6,1,2357910
magam,anusam,simmam,viruchagam,1,0,0,1,1,0,1,0,1,1,6,1,1457910
magam,kettai,simmam,viruchagam,0,0,0,0,0,0,0,0,0,0,0,0,b
magam,moolam,simmam,dhanush,0,0,0,0,0,0,0,0,0,0,0,0,b
magam,pooradam,simmam,dhanush,1,0,0,1,1,0,1,0,1,1,6,1,1457910
magam,uthiradam 1 padham,simmam,dhanush,0,0,0,1,1,0,1,0,1,1,5,0,457910
magam,uthiradam 2 3 4 padham,simmam,magaram,0,0,0,1,1,0,0,1,1,1,5,0,458910
magam,thiruvonam,simmam,magaram,1,0,1,1,1,0,0,1,1,1,7,1,13458910
magam,avitam 1 2 padham,simmam,magaram,0,1,0,1,1,0,0,1,1,1,6,1,2458910
magam,avitam 3 4 padam,simmam,kumbam,0,1,0,1,1,1,0,0,1,1,6,1,2456910
magam,sathayam,simmam,kumbam,1,1,0,1,1,1,0,0,1,1,7,1,12456910
magam,pooratadhi 1 2 3 padham,simmam,kumbam,0,0,1,1,1,1,0,0,1,1,6,1,3456910
magam,pooratadhi 4 padham,simmam,meenam,0,0,1,1,1,0,1,0,1,1,6,1,3457910
magam,uthiraithadhi,simmam,meenam,1,0,0,1,1,0,1,0,1,1,6,1,1457910
magam,revathi,simmam,meenam,0,0,0,0,0,0,0,0,0,0,0,0,b
pooram,aswini,simmam,mesam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
pooram,bharani,simmam,mesam,0,0,0,0,0,0,0,0,0,0,0,0,b
pooram,karthigai 1 padham,simmam,mesam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
pooram,karthigai 2 3 4 padham,simmam,rishabam,1,1,0,1,1,1,0,0,1,1,7,1,12456910
pooram,rohini,simmam,rishabam,0,1,0,1,0,1,0,0,1,1,5,0,246910
pooram,mirugasirisham 1 2 padham,simmam,rishabam,1,1,1,1,0,1,0,0,1,1,7,1,12346910
pooram,mirugasirisham 3 4 padham,simmam,mithunam,1,1,1,1,0,1,1,0,1,1,8,1,123467910
pooram,thiruvadhirai,simmam,mithunam,0,1,0,1,1,1,1,0,1,1,7,1,24567910
pooram,poonarpusham 1 2 3 padham,simmam,mithunam,1,1,0,1,0,1,1,0,1,1,7,1,12467910
pooram,poonarpusham 4 padham,simmam,kadagam,1,1,0,1,0,1,1,0,1,1,7,1,12467910
pooram,poosam,simmam,kadagam,0,0,0,0,0,0,0,0,0,0,0,0,b
pooram,ayilyam,simmam,kadagam,1,1,0,1,0,1,1,0,1,1,7,1,12467910
pooram,magam,simmam,simmam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
pooram,pooram,simmam,simmam,0,0,0,0,0,0,0,0,0,0,0,0,b
pooram,uthiram 1 padham,simmam,simmam,1,1,0,0,1,1,1,0,1,1,7,1,12567910
pooram,uthiram 2 3 4 padham,simmam,kanni,1,1,0,0,1,0,1,0,1,1,6,1,1257910
pooram,astham,simmam,kanni,0,1,0,0,1,0,1,0,1,1,5,0,257910
pooram,chithirai 1 2padham,simmam,kanni,1,1,1,0,1,0,0,0,1,1,6,1,1235910
pooram,chithirai 3 4 padham,simmam,thualam,1,1,1,0,1,0,0,0,1,1,6,1,1235910
pooram,swathi,simmam,thualam,0,1,0,0,1,0,0,0,1,1,4,0,25910
pooram,visagam 1 2 3 padham,simmam,thualam,1,1,0,0,1,0,0,0,1,1,5,0,125910
pooram,visagam 4 padham,simmam,viruchagam,1,1,0,0,1,0,1,0,1,1,6,1,1257910
pooram,anusam,simmam,viruchagam,0,0,0,0,0,0,0,0,0,0,0,0,b
pooram,kettai,simmam,viruchagam,1,1,0,1,1,0,1,0,1,1,7,1,12457910
pooram,moolam,simmam,dhanush,1,1,0,1,1,0,1,0,1,1,7,1,12457910
pooram,pooradam,simmam,dhanush,0,0,0,0,0,0,0,0,0,0,0,0,b
pooram,uthiradam 1 padham,simmam,dhanush,1,1,0,1,1,0,1,0,1,1,7,1,12457910
pooram,uthiradam 2 3 4 padham,simmam,magaram,1,1,0,1,1,0,0,1,1,1,7,1,12458910
pooram,thiruvonam,simmam,magaram,0,1,0,1,1,0,0,1,1,1,6,1,2458910
pooram,avitam 1 2 padham,simmam,magaram,1,1,1,1,1,0,0,1,1,1,8,1,123458910
pooram,avitam 3 4 padam,simmam,kumbam,1,1,1,1,1,1,0,0,1,1,8,1,123456910
pooram,sathayam,simmam,kumbam,0,1,0,1,1,1,0,0,1,1,6,1,2456910
pooram,pooratadhi 1 2 3 padham,simmam,kumbam,1,1,0,1,1,1,0,0,1,1,7,1,12456910
